#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent
26,Ukraine,5465954,,111676,,5315684,,38594,,126550,2586,32603805,754855,43192122,Europe
27,Chile,5273350,583,64497,,5206417,1456,2436,70,273937,3350,49148437,2553140,19250195,South America
28,Malaysia,5052337,,36982,,5004043,,11312,13,152266,1115,68335643,2059477,33181072,Asia
29,Israel,4816617,287,12416,1,4798473,,5728,21,516472,1331,41373364,4436346,9326000,Asia
30,Belgium,4782863,,34115,,4705250,1653,43498,43,409903,2924,36950938,3166786,11668278,Europe
31,DPRK,4772813,,74,,4772739,,0,,183636,3,,,25990679,Asia
32,Thailand,4728799,,33938,,4692636,,2225,,67479,484,17270775,246450,70078203,Asia
33,Czechia,4636162,65,42701,1,4588977,501,4484,35,431802,3977,57133746,5321309,10736784,Europe
34,Canada,4634277,,52121,,4554681,1237,27475,99,120721,1358,66343123,1728207,38388419,North America
35,Peru,4495182,,219882,,4271787,,3513,36,133451,6528,38385375,1139566,33684208,South America
36,Switzerland,4399088,,14452,,4378012,,6624,39,501398,1647,23833472,2716487,8773637,Europe
37,Philippines,4083663,162,66420,4,4007765,255,9478,162,36296,590,34873306,309960,112508994,Asia
38,South Africa,4075101,,102595,,3912506,,60000,192,67073,1689,26795090,441027,60756135,Africa
39,Romania,3374825,,67917,,3291922,,14986,134,177330,3569,27060823,1421909,19031335,Europe
40,Denmark,3178960,,8420,,3169319,110,1221,19,544814,1443,129246682,22150435,5834950,Europe
41,Hong Kong,2885629,112,13485,2,2870172,42,1972,28,379473,1773,76127725,10011143,7604299,Asia
42,Sweden,2702703,,23912,,2675429,153,3362,8,264479,2340,19500873,1908301,10218971,Europe
43,Serbia,2523925,365,17996,3,2492181,,13748,11,291682,2080,12675908,1464912,8653016,Europe
44,Iraq,2465545,,25375,,2439497,,673,21,58474,602,19544451,463523,42164965,Asia
45,Singapore,2298689,,1727,,2149583,,147379,2,386754,291,24756666,4165302,5943546,Asia
46,New Zealand,2284751,1730,4041,5,2269943,1739,10767,,466447,825,7768604,1586011,4898203,Australia/Oceania
47,Hungary,2199764,,48811,,2146693,,4260,3,228993,5081,11394556,1186160,9606259,Europe
48,Bangladesh,2038053,,29446,,1998448,,10159,,12140,175,15254399,90862,167885689,Asia
49,Slovakia,1865809,16,21121,1,1843935,22,753,17,341711,3868,7420858,1359083,5460193,Europe
50,Georgia,1833502,,17019,,1776548,,39935,,461986,4288,16920079,4263340,3968738,Asia
51,Jordan,1746997,,14122,,1731007,,1868,59,169597,1371,17201885,1669945,10300869,Asia
52,Ireland,1708435,,8782,,1695720,,3933,14,340312,1749,13079341,2605343,5020199,Europe
53,Pakistan,1580125,56,30652,,1538689,,10784,14,6885,134,30570862,133213,229488994,Asia
54,Norway,1481724,40,5213,,1475269,96,1242,20,268849,946,11002430,1996315,5511370,Europe
55,Finland,1468123,,9097,,1455410,144,3616,21,264290,1638,12069254,2172699,5554960,Europe
56,Kazakhstan,1410351,,13848,,1383020,,13483,24,73436,721,11575012,602707,19205043,Asia
57,Slovenia,1342043,21,7100,,1328006,,6937,8,645823,3417,2847701,1370382,2078034,Europe
58,Lithuania,1316039,32,9644,1,1301260,52,5135,9,494434,3623,10422080,3915561,2661708,Europe
59,Bulgaria,1301227,44,38277,1,1260093,13,2857,38,190110,5592,11139614,1627505,6844597,Europe
60,Morocco,1272679,,16296,,1256151,,232,3,33693,431,13001033,344191,37772756,Africa
61,Croatia,1270891,,18069,,1252329,,493,4,313082,4451,5553846,1368183,4059286,Europe
62,Guatemala,1245782,99,20188,,1224748,112,846,5,67035,1086,7125485,383420,18584039,North America
63,Lebanon,1235177,,10874,,1087587,,136716,74,184773,1627,4795578,717380,6684849,Asia
64,Costa Rica,1226248,,9326,,860711,,356211,52,236620,1800,4659757,899158,5182354,North America
65,Bolivia,1196163,,22375,,1164686,,9102,220,99741,1866,2705422,225590,11992656,South America
66,Tunisia,1152033,,29363,,,,,44,95631,2437,5006704,415609,12046656,Africa
67,Cuba,1112901,7,8530,,1104280,16,91,,98438,754,14324663,1267036,11305652,North America
68,Ecuador,1059529,,36017,,1022992,,520,759,58494,1988,3082403,170173,18113361,South America
69,UAE,1058979,,2349,,1040046,,16584,,105039,233,199952464,19833042,10081785,Asia
70,Uruguay,1036159,,7621,,1027930,,608,18,296383,2180,6114822,1749083,3496016,South America
71,Panama,1034730,,8612,,1025167,,951,16,232682,1937,7609800,1711235,4446964,North America
72,Mongolia,1007915,,2179,,1005728,,8,192,298369,645,4030048,1193000,3378078,Asia
73,Nepal,1001800,50,12020,,989384,11,396,,33144,398,6023348,199280,30225582,Asia
74,Belarus,994037,,7118,,985592,,1327,,105381,755,13646641,1446722,9432800,Europe
75,Latvia,977060,,6291,,970327,,442,13,528473,3403,7870456,4256977,1848837,Europe
